,City,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
0,rocha,-34.4833,-54.3333,57.96,95,79,6.55
1,strezhevoy,60.7333,77.5889,35.73,98,100,7.52
2,salalah,17.0151,54.0924,80.69,74,20,2.3
3,ushuaia,-54.8,-68.3,44.26,70,20,2.3
4,punta arenas,-53.15,-70.9167,41.11,81,75,10.36
5,santa cruz,-17.8,-63.1667,67.46,88,5,2.3
6,rikitea,-23.1203,-134.9692,78.1,75,28,14.74
7,hermanus,-34.4187,19.2345,60.8,51,51,7.99
8,kasane,-17.8167,25.15,59.09,88,0,9.22
9,boguchany,58.3814,97.4531,35.22,58,100,12.3
10,mataura,-46.1927,168.8643,64.47,75,100,3.71
11,broome,42.2506,-75.833,35.01,78,100,14.97
12,padang,-0.9492,100.3543,86.05,86,100,4.16
13,hilo,19.7297,-155.09,69.76,96,100,3.44
14,busselton,-33.65,115.3333,71.92,39,2,4.59
15,kutum,14.2,24.6667,73.45,19,82,7.4
16,san rafael,-34.6177,-68.3301,58.82,71,9,6.42
17,oranjemund,-28.55,16.4333,72.88,31,2,11.99
18,klaksvik,62.2266,-6.589,43.72,88,3,16.15
19,kapaa,22.0752,-159.319,73.4,80,75,20.71
20,albany,42.6001,-73.9662,38.3,71,75,1.99
21,ribeira grande,38.5167,-28.7,59.58,68,71,8.21
22,clyde river,70.4692,-68.5914,-7.37,64,100,3.44
23,saint-joseph,-21.3667,55.6167,80.55,76,32,2.44
24,pevek,69.7008,170.3133,28.6,82,58,2.01
25,mutare,-18.9707,32.6709,57.04,96,99,3.4
26,barrow,71.2906,-156.7887,15.82,73,0,10.36
27,taoudenni,22.6783,-3.9836,77.76,11,100,2.48
28,katsuura,35.1333,140.3,59.49,88,93,10.87
29,fortuna,40.5982,-124.1573,47.98,86,0,4.61
30,zolotukhino,52.0842,36.3772,50.07,96,100,0.4
31,bathsheba,13.2167,-59.5167,77.61,83,75,17.27
32,lichinga,-13.3128,35.2406,64.49,100,75,13.0
33,tevriz,57.509,72.4042,40.55,86,100,5.55
34,dikson,73.5069,80.5464,11.23,86,98,6.85
35,tuatapere,-46.1333,167.6833,61.45,87,100,5.46
36,wodonga,-36.1167,146.8833,63.73,81,40,12.66
37,likasi,-10.9814,26.7333,61.11,97,23,2.39
38,ossora,59.2353,163.0719,28.96,78,55,1.21
39,chuy,-33.6971,-53.4616,60.89,94,46,6.38
40,celestun,20.8667,-90.4,77.47,72,0,16.33
41,kalmunai,7.4167,81.8167,86.72,67,66,4.45
42,beira,-19.8436,34.8389,69.1,94,75,8.05
43,adrar,20.5022,-10.0711,74.71,13,5,6.49
44,baykalsk,51.5058,104.1469,35.62,70,91,3.91
45,tura,25.5198,90.2201,78.1,71,98,3.24
46,avarua,-21.2078,-159.775,75.25,88,75,12.66
47,riviere-au-renard,48.9957,-64.3971,39.49,98,100,29.42
48,general pico,-35.6566,-63.7568,65.77,45,89,9.71
49,comodoro rivadavia,-45.8667,-67.5,53.46,43,0,17.27
50,liepaja,56.5419,21.0367,42.78,70,0,11.5
51,san patricio,28.017,-97.5169,73.81,86,100,14.34
52,sinnamary,5.3833,-52.95,76.48,91,100,7.76
53,hofn,64.2539,-15.2082,43.84,82,67,5.91
54,dzhida,50.6772,106.1806,42.01,29,96,16.78
55,codrington,-38.2667,141.9667,62.46,53,64,17.4
56,ponta do sol,32.6667,-17.1,60.35,62,6,8.72
57,hithadhoo,-0.6,73.0833,82.83,70,76,4.65
58,opuwo,-18.0607,13.84,64.26,45,88,8.46
59,bluff,-46.6,168.3333,64.8,69,100,7.78
60,soyo,-6.1349,12.3689,76.26,92,100,6.33
61,iracoubo,5.4802,-53.2011,76.44,91,100,8.1
62,torbay,47.6666,-52.7314,28.47,85,100,13.8
63,saint-philippe,-21.3585,55.7679,81.52,77,32,5.99
64,gigmoto,13.7796,124.39,82.9,81,64,6.67
65,east london,-33.0153,27.9116,65.34,94,0,5.75
66,jamestown,42.097,-79.2353,34.84,66,100,16.11
67,victoria,22.2855,114.1577,76.96,73,94,5.99
68,tiksi,71.6872,128.8694,12.92,90,100,6.67
69,norman wells,65.282,-126.8329,33.84,25,0,4.61
70,birin,26.8865,88.0718,65.57,68,92,4.81
71,natal,-5.795,-35.2094,77.22,94,20,4.61
72,tuktoyaktuk,69.4541,-133.0374,8.6,92,100,2.3
73,sao paulo de olivenca,-3.3783,-68.8725,72.3,99,98,1.63
74,vestmanna,62.1564,-7.1664,41.92,87,40,11.5
75,strausberg,52.5786,13.8874,43.41,89,94,4.54
76,chokurdakh,70.6333,147.9167,23.94,90,99,5.75
77,saskylakh,71.9167,114.0833,11.43,90,81,8.81
78,butaritari,3.0707,172.7902,82.35,74,62,15.43
79,yulara,-25.2406,130.9889,73.24,21,7,10.36
80,upernavik,72.7868,-56.1549,-8.34,99,95,7.16
81,pangnirtung,66.1451,-65.7125,4.05,90,100,6.49
82,nikolskoye,59.7035,30.7861,42.94,78,88,7.02
83,alice town,25.7167,-79.3,75.72,70,19,23.29
84,durant,33.994,-96.3708,57.47,84,100,6.91
85,port-gentil,-0.7193,8.7815,78.62,89,100,8.41
86,sitka,57.0531,-135.33,51.69,37,75,5.75
87,ipixuna,-1.7625,-48.8043,74.01,97,100,2.59
88,saint george,37.1041,-113.5841,75.79,9,0,20.71
89,constitucion,-35.3333,-72.4167,55.78,97,96,7.09
90,port elizabeth,-33.918,25.5701,62.31,99,0,9.22
91,cape town,-33.9258,18.4232,60.4,67,0,3.44
92,bulgan,48.8125,103.5347,37.87,33,99,15.84
93,manakara,-22.1333,48.0167,74.19,81,100,1.97
94,roma,43.2128,-75.4557,35.42,94,100,20.71
95,pochutla,15.7432,-96.4661,80.82,56,1,2.33
96,hobart,-42.8794,147.3294,58.95,54,20,17.27
97,isangel,-19.55,169.2667,81.72,76,14,5.57
98,sistranda,63.7256,8.834,39.16,77,0,2.53
99,yellowknife,62.456,-114.3525,21.72,53,20,5.75
100,ukiah,39.1502,-123.2078,46.9,86,0,0.0
101,longyearbyen,78.2186,15.6401,26.44,63,40,18.41
102,cidreira,-30.1811,-50.2056,66.11,85,3,7.67
103,aklavik,68.2191,-135.0107,5.49,97,14,5.1
104,siocon,7.7061,122.1353,86.23,69,100,3.31
105,dilla,6.41,38.31,70.52,62,21,1.12
106,svarstad,59.399,9.9698,41.04,51,3,3.06
107,provideniya,64.3833,-173.3,35.71,60,0,4.47
108,geraldton,-28.7667,114.6,82.81,21,96,11.5
109,putyatino,54.16,41.1169,42.55,92,100,13.18
110,port lincoln,-34.7333,135.8667,65.77,54,78,11.45
111,matadi,-5.8167,13.45,74.46,98,100,1.01
112,carnarvon,-24.8667,113.6333,87.87,29,40,12.66
113,egvekinot,66.3167,-179.1667,26.53,88,100,1.05
114,griffith,41.5284,-87.4237,40.59,67,75,9.22
115,atuona,-9.8,-139.0333,79.34,72,17,17.54
116,boa vista,2.8197,-60.6733,78.78,78,75,11.5
117,luang prabang,19.8856,102.1347,80.56,65,40,0.0
118,dolores,-36.3132,-57.6792,59.34,93,100,5.84
119,itarema,-2.9248,-39.9167,76.12,90,84,7.14
120,nanortalik,60.1432,-45.2371,24.3,58,0,27.34
121,puerto ayora,-0.7393,-90.3518,73.83,90,95,3.69
122,sola,-13.8833,167.55,83.39,71,91,11.77
123,cherskiy,68.75,161.3,32.02,84,30,10.54
124,puerto baquerizo moreno,-0.9,-89.6,72.68,91,33,6.26
125,sharjah,25.3573,55.4033,75.49,69,4,3.44
126,tezu,27.9167,96.1667,87.13,39,1,3.49
127,bredasdorp,-34.5322,20.0403,59.81,73,43,4.32
128,zhangye,38.9342,100.4517,70.12,6,78,14.92
129,charters towers,-20.1,146.2667,89.82,26,61,9.89
130,monrovia,6.3005,-10.7969,78.57,86,100,3.22
131,saldanha,-33.0117,17.9442,69.24,40,88,12.91
132,ilebo,-4.3167,20.5833,70.65,99,100,1.01
133,souillac,-20.5167,57.5167,80.98,89,75,11.5
134,anshun,26.25,105.9333,64.51,61,83,10.09
135,puerto colombia,10.9878,-74.9547,78.82,81,98,5.75
136,byron bay,-28.65,153.6167,85.69,57,3,0.51
137,makat,47.6469,53.3463,67.77,33,24,17.4
138,belmonte,-15.8631,-38.8828,75.76,77,94,7.72
139,san buenaventura,27.0833,-101.5333,81.48,61,100,5.5
140,vaini,-21.2,-175.2,75.36,94,75,4.61
141,mersing,2.4312,103.8405,89.51,70,40,5.75
142,imeni poliny osipenko,52.4201,136.4853,39.83,90,100,13.6
143,tabou,4.423,-7.3528,79.39,84,97,4.52
144,pasinler,39.9803,41.6764,50.99,69,99,4.09
145,shache,38.4167,77.2406,78.87,11,42,5.66
